SITE_NAME,DEVICE_TYPE,HOSTNAME,REGION,IPV4_MANAGEMENT_IP,IPV6_MANAGEMENT_IP,IPV4_LOOPBACK0_ADDRESS,IPV6_LOOPBACK0_ADDRESS,SID_ABSOLUTE_PREFIX,SID_ABSOLUTE_STRICT_PREFIX,ANY_CAST_SID,PHASE,IPV4_ANYCAST_IP
B04 BATANGAS RBS,DN-1,BAT00B04CICN001,SL,10.205.140.82,2405:b800::a053,10.205.132.82,2405:b800::2052,23076,23077,99019,PHASE 1,10.205.184.168
B04 BATANGAS RBS,DN-2,BAT00B04CICN002,SL,10.205.140.83,2405:b800::a054,10.205.132.83,2405:b800::2053,23078,23079,99019,PHASE 1,10.205.184.168
PLDT ALABANG,PE-1,MTP00H22CIBE001,GMM,10.205.138.9,2405:b800::9009,10.205.130.9,2405:b800::1009,18016,18017,96004,PHASE 1,10.205.184.5
PLDT ALABANG,PE-2,MTP00H22CIBE002,GMM,10.205.138.10,2405:b800::900a,10.205.130.10,2405:b800::100a,18018,18019,96004,PHASE 1,10.205.184.5
PLDT ALABANG,AN-1,MTPPXALACICU001,GMM,10.205.142.1,2405:b800::b001,10.205.134.1,2405:b800::3001,33000,33001,,PHASE 1,
PLDT ALAMINOS,AN-1,SPES0788CICU001,SL,10.205.142.83,2405:b800::b053,10.205.134.83,2405:b800::3053,33084,33085,,PHASE 1,
PLDT ALITAGTAG,AN-1,ATT00T02CICU001,SL,10.205.142.64,2405:b800::b040,10.205.134.64,2405:b800::3040,33046,33047,,PHASE 1,
PLDT BAGUIO,PE-1,BGO05352CIBE001,NL,10.205.138.60,2405:b800::903c,10.205.130.60,2405:b800::103c,18098,18099,96021,PHASE 1,10.205.184.46
PLDT BAGUIO,PE-2,BGO05352CIBE002,NL,10.205.138.61,2405:b800::903d,10.205.130.61,2405:b800::103d,18100,18101,96021,PHASE 1,10.205.184.46
PLDT BALANGA,AN-1,BLAPXBLACICU001,NL,10.205.142.32,2405:b800::b020,10.205.134.32,2405:b800::3020,33006,33007,,PHASE 1,
PLDT BATANGAS,PE-1,BATS0002CIBE001,SL,10.205.138.68,2405:b800::9044,10.205.130.68,2405:b800::1044,18110,18111,96024,PHASE 1,10.205.184.66
PLDT BATANGAS,PE-2,BATS0002CIBE002,SL,10.205.138.69,2405:b800::9045,10.205.130.69,2405:b800::1045,18112,18113,96024,PHASE 1,10.205.184.66
PLDT BATANGAS,AN-1,BATS0002CICU001,SL,10.205.142.65,2405:b800::b041,10.205.134.65,2405:b800::3041,33048,33049,,PHASE 1,
PLDT BAUAN,AN-1,BAB00B13CICU001,SL,10.205.142.66,2405:b800::b042,10.205.134.66,2405:b800::3042,33050,33051,,PHASE 1,
PLDT BEPZA,AN-1,MRVPXBPZCICU001,NL,10.205.142.33,2405:b800::b021,10.205.134.33,2405:b800::3021,33008,33009,,PHASE 1,
PLDT BINAKAYAN,PE-1,KAWS0016CIBE001,NL,10.205.138.64,2405:b800::9040,10.205.130.64,2405:b800::1040,18102,18103,96022,PHASE 1,10.205.184.64
PLDT BINAKAYAN,PE-2,KAWS0016CIBE002,NL,10.205.138.65,2405:b800::9041,10.205.130.65,2405:b800::1041,18104,18105,96022,PHASE 1,10.205.184.64
PLDT BINAKAYAN,AN-1,KAWS0016CICU001,NL,10.205.142.67,2405:b800::b043,10.205.134.67,2405:b800::3043,33052,33053,,PHASE 1,
PLDT BINAN DIGITEL,AN-1,BNNS0801CICU001,SL,10.205.142.68,2405:b800::b044,10.205.134.68,2405:b800::3044,33054,33055,,PHASE 1,
PLDT BULACAN,AN-1,BCN00550CICU001,NL,10.205.142.34,2405:b800::b022,10.205.134.34,2405:b800::3022,33010,33011,,PHASE 1,
PLDT CABANATUAN,PE-1,BCN00550CICU001,NL,10.205.138.50,2405:b800::9032,10.205.130.50,2405:b800::1032,18078,18079,96016,PHASE 1,10.205.184.41
PLDT CABANATUAN,PE-2,CAB06118CIBE002,NL,10.205.138.51,2405:b800::9033,10.205.130.51,2405:b800::1033,18080,18081,96016,PHASE 1,10.205.184.41
PLDT CABANATUAN,AN-1,CABN5695CICU001,NL,10.205.142.35,2405:b800::b023,10.205.134.35,2405:b800::3023,33012,33013,,PHASE 1,
PLDT CALAMBA,PE-1,CLAS3548CIBE001,SL,10.205.138.66,2405:b800::9042,10.205.130.66,2405:b800::1042,18106,18107,96023,PHASE 1,10.205.184.65
PLDT CALAMBA,PE-2,CLAS3548CIBE002,SL,10.205.138.67,2405:b800::9043,10.205.130.67,2405:b800::1043,18108,18109,96023,PHASE 1,10.205.184.65
PLDT CALAMBA,AN-1,CLA00633CICU001,SL,10.205.142.69,2405:b800::b045,10.205.134.69,2405:b800::3045,33056,33057,,PHASE 1,
PLDT CARMONA,DN-1,CMN05702CICN001,SL,10.205.140.66,2405:b800::a043,10.205.132.66,2405:b800::2042,23044,23045,99011,PHASE 1,10.205.184.160
PLDT CARMONA,DN-2,CMN05702CICN002,SL,10.205.140.67,2405:b800::a044,10.205.132.67,2405:b800::2043,23046,23047,99011,PHASE 1,10.205.184.160
PLDT CEPZA,AN-1,RSC00Q98CICU001,SL,10.205.142.70,2405:b800::b046,10.205.134.70,2405:b800::3046,33058,33059,,PHASE 1,
PLDT CLARK,PE-1,CKLN8004CIBE001,NL,10.205.138.34,2405:b800::9022,10.205.130.34,2405:b800::1022,18046,18047,96008,PHASE 1,10.205.184.33
PLDT CLARK,PE-2,CKLN8004CIBE002,NL,10.205.138.35,2405:b800::9023,10.205.130.35,2405:b800::1023,18048,18049,96008,PHASE 1,10.205.184.33
PLDT CLARK,AN-1,CKL00Y84CICU001,NL,10.205.142.36,2405:b800::b024,10.205.134.36,2405:b800::3024,33014,33015,,PHASE 1,
PLDT CLARK,S-RR-2,CKL3992CIRR002,NL,10.205.138.98,2405:b800::9062,10.205.130.98,2405:b800::1062,18134,18135,,PHASE 1,
PLDT CLARK,T-RR-2,CKL3992CIRR001,NL,10.205.138.97,2405:b800::9061,10.205.130.97,2405:b800::1061,18136,18137,,PHASE 1,
PLDT CLARK,XTC-2,CKL3992CIVV029,NL,10.205.138.96,2405:b800::9060,10.205.130.96,2405:b800::1060,18138,18139,,PHASE 1,
PLDT DAGUPAN,PE-1,DGPN3809CIBE001,NL,10.205.138.48,2405:b800::9030,10.205.130.48,2405:b800::1030,18074,18075,96015,PHASE 1,10.205.184.40
PLDT DAGUPAN,PE-2,DGPN3809CIBE002,NL,10.205.138.49,2405:b800::9031,10.205.130.49,2405:b800::1031,18076,18077,96015,PHASE 1,10.205.184.40
PLDT FCIE,DN-1,DAS00S39CICN001,SL,10.205.140.110,2405:b800::a06f,10.205.132.110,2405:b800::206e,23132,23133,99033,PHASE 1,10.205.184.182
PLDT FCIE,DN-2,DAS00S39CICN002,SL,10.205.140.111,2405:b800::a070,10.205.132.111,2405:b800::206f,23134,23135,99033,PHASE 1,10.205.184.182
PLDT FCIE,AN-1,DAS00S39CICU001,SL,10.205.142.71,2405:b800::b047,10.205.134.71,2405:b800::3047,33060,33061,,PHASE 1,
PLDT GUIGUINTO,AN-1,GGTPXGGTCICU001,NL,10.205.142.39,2405:b800::b027,10.205.134.39,2405:b800::3027,33020,33021,,PHASE 1,
PLDT IMUS,DN-1,IMUS3559CICN001,SL,10.205.140.90,2405:b800::a05b,10.205.132.90,2405:b800::205a,23092,23093,99023,PHASE 1,10.205.184.172
PLDT IMUS,DN-2,IMUS3559CICN002,SL,10.205.140.91,2405:b800::a05c,10.205.132.91,2405:b800::205b,23094,23095,99023,PHASE 1,10.205.184.172
PLDT INDANG,DN-1,IDGPXIDGCICN001,SL,10.205.140.114,2405:b800::a073,10.205.132.114,2405:b800::2072,23140,23141,99035,PHASE 1,10.205.184.184
PLDT INDANG,DN-2,IDGPXIDGCICN002,SL,10.205.140.115,2405:b800::a074,10.205.132.115,2405:b800::2073,23142,23143,99035,PHASE 1,10.205.184.184
PLDT JUPITER,PE-1,MKTG3610CIBE001,GMM,10.205.138.1,2405:b800::9001,10.205.130.1,2405:b800::1001,18000,18001,96000,PHASE 1,10.205.184.1
PLDT JUPITER,PE-2,MKTG3610CIBE002,GMM,10.205.138.2,2405:b800::9002,10.205.130.2,2405:b800::1002,18002,18003,96000,PHASE 1,10.205.184.1
PLDT JUPITER,P-1,MKTG3610CIBP001,GMM,10.205.136.1,2405:b800::8001,10.205.128.1,2405:b800::0001,16000,16001,,PHASE 1,
PLDT JUPITER,P-2,MKTG3610CIBP002,GMM,10.205.136.2,2405:b800::8002,10.205.128.2,2405:b800::0002,16002,16003,,PHASE 1,
PLDT JUPITER,ASBR-1,MKTG3610CIRO001,GMM,10.205.138.15,2405:b800::900f,10.205.130.15,2405:b800::100f,18028,18029,,PHASE 1,
PLDT JUPITER,ASBR-2,MKTG3610CIRO002,GMM,10.205.138.16,2405:b800::9010,10.205.130.16,2405:b800::1010,18030,18031,,PHASE 1,
PLDT JUPITER,S-RR-1,MKTG3610CIRR002,GMM,10.205.138.21,2405:b800::9015,10.205.130.21,2405:b800::1015,18036,18037,,PHASE 1,
PLDT JUPITER,T-RR-1,MKTG3610CIRR001,GMM,10.205.138.20,2405:b800::9014,10.205.130.20,2405:b800::1014,18038,18039,,PHASE 1,
PLDT JUPITER,XTC-1,MKTG3610CIVV029,GMM,10.205.138.19,2405:b800::9013,10.205.130.19,2405:b800::1013,18040,18041,,PHASE 1,
PLDT LAGUNA LOS BANOS,AN-1,LBSS0059CICU001,SL,10.205.142.72,2405:b800::b048,10.205.134.72,2405:b800::3048,33062,33063,,PHASE 1,
PLDT LAOAG,PE-1,LAGN3816CIBE001,NL,10.205.138.40,2405:b800::9028,10.205.130.40,2405:b800::1028,18058,18059,96011,PHASE 1,10.205.184.36
PLDT LAOAG,PE-2,LAGN3816CIBE002,NL,10.205.138.41,2405:b800::9029,10.205.130.41,2405:b800::1029,18060,18061,96011,PHASE 1,10.205.184.36
PLDT LAOAG,AN-1,LAGN0000CICU001,NL,10.205.142.42,2405:b800::b02a,10.205.134.42,2405:b800::302a,33026,33027,,PHASE 1,
PLDT LIIP,AN-1,BNNPXLIICICU001,SL,10.205.142.73,2405:b800::b049,10.205.134.73,2405:b800::3049,33064,33065,,PHASE 1,
PLDT LILIW,AN-1,LIWS0800CICU001,SL,10.205.142.74,2405:b800::b04a,10.205.134.74,2405:b800::304a,33066,33067,,PHASE 1,
PLDT LIPA,DN-1,LIPS0014CICN001,SL,10.205.140.76,2405:b800::a04d,10.205.132.76,2405:b800::204c,23064,23065,99016,PHASE 1,10.205.184.165
PLDT LIPA,DN-2,LIPS0014CICN002,SL,10.205.140.77,2405:b800::a04e,10.205.132.77,2405:b800::204d,23066,23067,99016,PHASE 1,10.205.184.165
PLDT LIPA,AN-1,LIPS1300CICU001,SL,10.205.142.75,2405:b800::b04b,10.205.134.75,2405:b800::304b,33068,33069,,PHASE 1,
PLDT LTI,DN-1,SRO00Q34CICN001,SL,10.205.140.104,2405:b800::a069,10.205.132.104,2405:b800::2068,23120,23121,99030,PHASE 1,10.205.184.179
PLDT LTI,DN-2,SRO00Q34CICN002,SL,10.205.140.105,2405:b800::a06a,10.205.132.105,2405:b800::2069,23122,23123,99030,PHASE 1,10.205.184.179
PLDT LTI,AN-1,SROS3549CICU001,SL,10.205.142.76,2405:b800::b04c,10.205.134.76,2405:b800::304c,33070,33071,,PHASE 1,
PLDT LUCENA,P-1,LCN04117CIBP001,SL,10.205.136.64,2405:b800::8040,10.205.128.64,2405:b800::0040,16016,16017,,PHASE 1,
PLDT LUCENA,P-2,LCN04117CIBP002,SL,10.205.136.65,2405:b800::8041,10.205.128.65,2405:b800::0041,16018,16019,,PHASE 1,
PLDT LUCENA,ASBR-1,LCN04117CIRO001,SL,10.205.138.78,2405:b800::904e,10.205.130.78,2405:b800::104e,18130,18131,,PHASE 1,
PLDT LUCENA,ASBR-2,LCN04117CIRO002,SL,10.205.138.79,2405:b800::904f,10.205.130.79,2405:b800::104f,18132,18133,,PHASE 1,
PLDT MABALACAT,DN-1,MCT03903CICN001,NL,10.205.140.1,2405:b800::a001,10.205.132.1,2405:b800::2001,23000,23001,99000,PHASE 1,10.205.184.96
PLDT MABALACAT,DN-2,MCT03903CICN002,NL,10.205.140.2,2405:b800::a002,10.205.132.2,2405:b800::2002,23002,23003,99000,PHASE 1,10.205.184.96
PLDT MABALACAT,AN-1,MCT03903CICU001,NL,10.205.142.38,2405:b800::b026,10.205.134.38,2405:b800::3026,33018,33019,,PHASE 1,
PLDT MALOLOS,PE-1,MLLN3874CIBE001,NL,10.205.138.38,2405:b800::9026,10.205.130.38,2405:b800::1026,18054,18055,96010,PHASE 1,10.205.184.35
PLDT MALOLOS,PE-2,MLLN3874CIBE002,NL,10.205.138.39,2405:b800::9027,10.205.130.39,2405:b800::1027,18056,18057,96010,PHASE 1,10.205.184.35
PLDT MALOLOS,AN-1,MLLN0037CICU001,NL,10.205.142.43,2405:b800::b02b,10.205.134.43,2405:b800::302b,33028,33029,,PHASE 1,
PLDT NAIC,DN-1,NACS3561CICN001,SL,10.205.140.92,2405:b800::a05d,10.205.132.92,2405:b800::205c,23096,23097,99024,PHASE 1,10.205.184.173
PLDT NAIC,DN-2,NACS3561CICN002,SL,10.205.140.93,2405:b800::a05e,10.205.132.93,2405:b800::205d,23098,23099,99024,PHASE 1,10.205.184.173
PLDT NAIC,AN-1,NACS3561CICU001,SL,10.205.142.77,2405:b800::b04d,10.205.134.77,2405:b800::304d,33072,33073,,PHASE 1,
PLDT NASUGBU,PE-1,NSBS0051CIBE001,SL,10.205.138.70,2405:b800::9046,10.205.130.70,2405:b800::1046,18114,18115,96025,PHASE 1,10.205.184.67
PLDT NASUGBU,PE-2,NSBS0051CIBE002,SL,10.205.138.71,2405:b800::9047,10.205.130.71,2405:b800::1047,18116,18117,96025,PHASE 1,10.205.184.67
PLDT NASUGBU,AN-1,NSBS1366CICU001,SL,10.205.142.78,2405:b800::b04e,10.205.134.78,2405:b800::304e,33074,33075,,PHASE 1,
PLDT NORTH PARANAQUE,PE-1,PRQG0049CIBE001,GMM,10.205.138.11,2405:b800::900b,10.205.130.11,2405:b800::100b,18020,18021,96005,PHASE 1,10.205.184.6
PLDT NORTH PARANAQUE,PE-2,PRQG0049CIBE002,GMM,10.205.138.12,2405:b800::900c,10.205.130.12,2405:b800::100c,18022,18023,96005,PHASE 1,10.205.184.6
PLDT NORTH PARANAQUE,AN-1,PRQG0049CICU001,GMM,10.205.142.3,2405:b800::b003,10.205.134.3,2405:b800::3003,33004,33005,,PHASE 1,
PLDT OLONGAPO,AN-1,OLGPXOLGCICU001,NL,10.205.142.44,2405:b800::b02c,10.205.134.44,2405:b800::302c,33030,33031,,PHASE 1,
PLDT PAMPLONA,AN-1,LPN00358CICU001,GMM,10.205.142.2,2405:b800::b002,10.205.134.2,2405:b800::3002,33002,33003,,PHASE 1,
PLDT ROSARIO,AN-1,RSCS0075CICU001,SL,10.205.142.79,2405:b800::b04f,10.205.134.79,2405:b800::304f,33076,33077,,PHASE 1,
PLDT SAMPALOC,P-1,SPC00E67CIBP001,GMM,10.205.136.3,2405:b800::8003,10.205.128.3,2405:b800::0003,16004,16005,,PHASE 1,
PLDT SAMPALOC,P-2,SPC00E67CIBP002,GMM,10.205.136.4,2405:b800::8004,10.205.128.4,2405:b800::0004,16006,16007,,PHASE 1,
PLDT SAMPALOC,PE-1,SPC00E67CIBE001,GMM,10.205.138.3,2405:b800::9003,10.205.130.3,2405:b800::1003,18004,18005,96001,PHASE 1,10.205.184.2
PLDT SAMPALOC,PE-2,SPC00E67CIBE002,GMM,10.205.138.4,2405:b800::9004,10.205.130.4,2405:b800::1004,18006,18007,96001,PHASE 1,10.205.184.2
PLDT SAMPALOC,ASBR-1,SPC00E67CIRO001,GMM,10.205.138.17,2405:b800::9011,10.205.130.17,2405:b800::1011,18032,18033,,PHASE 1,
PLDT SAMPALOC,ASBR-2,SPC00E67CIRO002,GMM,10.205.138.18,2405:b800::9012,10.205.130.18,2405:b800::1012,18034,18035,,PHASE 1,
PLDT SAN MARCELINO,AN-1,SMZN3839CICU001,NL,10.205.142.46,2405:b800::b02e,10.205.134.46,2405:b800::302e,33034,33035,,PHASE 1,
PLDT SAN PEDRO,DN-1,SPR04119CICN002,SL,10.205.140.64,2405:b800::a041,10.205.132.64,2405:b800::2040,23040,23041,99010,PHASE 1,10.205.184.159
PLDT SAN PEDRO,DN-2,SPR04119CICN002,SL,10.205.140.65,2405:b800::a042,10.205.132.65,2405:b800::2041,23042,23043,99010,PHASE 1,10.205.184.159
PLDT SFP,PE-1,SFPN3827CIBE0001,NL,10.205.138.44,2405:b800::902c,10.205.130.44,2405:b800::102c,18066,18067,96013,PHASE 1,10.205.184.38
PLDT SFP,PE-2,SFPN3827CIBE0002,NL,10.205.138.45,2405:b800::902d,10.205.130.45,2405:b800::102d,18068,18069,96013,PHASE 1,10.205.184.38
PLDT SFU,PE-1,SFUN3814CIBE001,NL,10.205.138.32,2405:b800::9020,10.205.130.32,2405:b800::1020,18042,18043,96007,PHASE 1,10.205.184.32
PLDT SFU,PE-2,SFUN3814CIBE002,NL,10.205.138.33,2405:b800::9021,10.205.130.33,2405:b800::1021,18044,18045,96007,PHASE 1,10.205.184.32
PLDT SFU,AN-1,SFU05156CICU001,NL,10.205.142.47,2405:b800::b02f,10.205.134.47,2405:b800::302f,33036,33037,,PHASE 1,
PLDT SFU,P-1,SFUN3814CIBP001,NL,10.205.136.32,2405:b800::8020,10.205.128.32,2405:b800::0020,16012,16013,,PHASE 1,
PLDT SFU,P-2,SFUN3814CIBP002,NL,10.205.136.33,2405:b800::8021,10.205.128.33,2405:b800::0021,16014,16015,,PHASE 1,
PLDT SILANG,DN-1,SILPXSILCICN001,SL,10.205.140.94,2405:b800::a05f,10.205.132.94,2405:b800::205e,23100,23101,99025,PHASE 1,10.205.184.174
PLDT SILANG,DN-2,SILPXSILCICN002,SL,10.205.140.95,2405:b800::a060,10.205.132.95,2405:b800::205f,23102,23103,99025,PHASE 1,10.205.184.174
PLDT SOUTH TAGUIG,PE-1,TAG00H21CIBE001,GMM,10.205.138.13,2405:b800::900d,10.205.130.13,2405:b800::100d,18024,18025,96006,PHASE 1,10.205.184.7
PLDT SOUTH TAGUIG,PE-2,TAG00H21CIBE002,GMM,10.205.138.14,2405:b800::900e,10.205.130.14,2405:b800::100e,18026,18027,96006,PHASE 1,10.205.184.7
PLDT STA CRUZ,AN-1,SXL04178CICU001,SL,10.205.142.80,2405:b800::b050,10.205.134.80,2405:b800::3050,33078,33079,,PHASE 1,
PLDT STA ROSA,AN-1,SROPXSROCICU001,SL,10.205.142.81,2405:b800::b051,10.205.134.81,2405:b800::3051,33080,33081,,PHASE 1,
PLDT SUBIC,PE-1,SUB00527CIBE001,NL,10.205.138.36,2405:b800::9024,10.205.130.36,2405:b800::1024,18050,18051,96009,PHASE 1,10.205.184.34
PLDT SUBIC,PE-2,SUB00527CIBE002,NL,10.205.138.37,2405:b800::9025,10.205.130.37,2405:b800::1025,18052,18053,96009,PHASE 1,10.205.184.34
PLDT SUBIC,AN-1,SUB00527CICU001,NL,10.205.142.48,2405:b800::b030,10.205.134.48,2405:b800::3030,33038,33039,,PHASE 1,
PLDT SUCAT VITRO,PE-1,PRQG0099CIBE001,GMM,10.205.138.7,2405:b800::9007,10.205.130.7,2405:b800::1007,18012,18013,96003,PHASE 1,10.205.184.4
PLDT SUCAT VITRO,PE-2,PRQG0099CIBE002,GMM,10.205.138.8,2405:b800::9008,10.205.130.8,2405:b800::1008,18014,18015,96003,PHASE 1,10.205.184.4
PLDT TAGAYTAY,AN-1,TGT05174CICU001,SL,10.205.142.82,2405:b800::b052,10.205.134.82,2405:b800::3052,33082,33083,,PHASE 1,
PLDT TAMBO,P-1,PRQ06653CIBP001,GMM,10.205.136.5,2405:b800::8005,10.205.128.5,2405:b800::0005,16008,16009,,PHASE 1,
PLDT TAMBO,P-2,PRQ06653CIBP002,GMM,10.205.136.6,2405:b800::8006,10.205.128.6,2405:b800::0006,16010,16011,,PHASE 1,
PLDT SOUTH PARANAQUE,PE-1,PRQPXPRQCIBE001,GMM,10.205.138.5,2405:b800::9005,10.205.130.5,2405:b800::1005,18008,18009,96002,PHASE 1,10.205.184.3
PLDT SOUTH PARANAQUE,PE-2,PRQPXPRQCIBE002,GMM,10.205.138.6,2405:b800::9006,10.205.130.6,2405:b800::1006,18010,18011,96002,PHASE 1,10.205.184.3
